normal_angle,normal_deviation,l_CIELAB,a_CIELAB,b_CIELAB,standard_l_CIELAB,standard_a_CIELAB,standard_b_CIELAB,MIN_height,MAX_height,bounding_box_width,bounding_box_height,bounding_box_depth,bounding_box_vertical_area,bounding_box_horizontal_area,vertical_elongation,horizontal_elongation,volumeness,
0.356584,0.177472,97.8105,-0.814978,-0.581608,17.2457,0.960299,1.42866,0.379511,0.500425,1.19405,0.120915,0.401416,0.144378,0.479309,0.101265,0.336181,0.30122,
0.137919,0.207629,71.9533,-2.27803,1.16636,29.7871,1.53472,3.06563,-0.0763139,0.0763397,4.26641,0.152654,2.66486,0.651283,11.3694,0.0357803,0.624613,0.057284,
1.40409,0.172266,33.1474,2.46741,16.4552,376.158,8.68854,39.2752,0.0340077,0.175448,0.261441,0.14144,0.0904104,0.0369783,0.023637,0.541002,0.345815,1.56442,
1.30793,0.215744,58.101,-11.8023,16.9488,134.407,56.8554,44.1736,0.0105479,0.412176,1.21876,0.401628,0.197922,0.489487,0.241219,0.32954,0.162397,2.02922,
0.449866,0.0926614,98.1675,0.0391301,-0.0774599,64.6455,0.199191,0.277055,0.578306,0.791922,0.855204,0.213616,0.446058,0.182685,0.38147,0.249784,0.521581,0.478897,
1.38944,0.132038,90.8841,-0.993193,-2.04349,36.1123,0.440912,0.835945,0.390659,0.604688,0.935187,0.214029,0.131036,0.200157,0.122543,0.228862,0.140117,1.63336,
0.426838,0.169065,65.7104,-12.1958,17.2647,73.7581,68.9982,10.4857,0.128626,0.189573,0.364426,0.0609469,0.120033,0.0222107,0.0437433,0.167241,0.329376,0.50775,
0.49663,0.238767,66.7659,-11.5893,17.2689,70.7225,66.9392,13.8313,0.137188,0.217732,0.531916,0.0805432,0.130253,0.0428422,0.0692835,0.151421,0.244875,0.61836,
0.338487,0.158257,50.9952,-1.34284,11.0957,276.35,4.65584,38.991,-0.0111231,0.0576831,0.449979,0.0688062,0.133232,0.0309613,0.0599517,0.15291,0.296085,0.516438,
0.497146,0.197477,28.4609,1.40603,14.3399,300.836,9.35447,41.9498,-0.0144024,0.0469831,0.399555,0.0613855,0.120331,0.0245269,0.0480787,0.153635,0.301162,0.51014,
1.12873,0.195791,55.8957,-15.4095,16.9088,157.769,30.7899,50.9647,0.126812,0.468657,0.651329,0.341845,0.204244,0.222654,0.13303,0.524843,0.313581,1.67371,
1.19023,0.122774,89.8583,-2.11573,-2.97664,40.5711,0.999459,3.30177,0.362062,0.784607,0.5365,0.422545,0.274612,0.226695,0.147329,0.787596,0.511859,1.5387,
1.5309,0.319544,42.8343,-3.39435,18.0186,288.54,49.5119,32.6477,-0.0118713,0.254741,0.395743,0.266612,0.143139,0.10551,0.0566463,0.6737,0.361697,1.86261,
0.240521,0.0749838,36.8482,-2.90572,10.1865,205.488,9.28614,30.1721,-0.0277165,0.0299847,0.309804,0.0577012,0.120865,0.017876,0.0374444,0.186251,0.390135,0.477402,
0.326463,0.201238,59.9324,-17.9716,18.4341,66.8762,36.2397,29.5885,0.137128,0.206831,0.802517,0.0697024,0.193927,0.0559373,0.155629,0.0868547,0.241648,0.359427,
0.0918188,0.0670546,52.1409,-3.89061,3.6035,54.8164,0.361642,1.22214,-0.0243686,-0.000470161,0.510124,0.0238985,0.172196,0.0121912,0.0878412,0.0468484,0.337557,0.138787,
0.362976,0.133994,6.83135,-0.0932127,5.95623,21.4195,2.26145,4.35239,-0.0208734,0.035079,0.711762,0.0559524,0.202099,0.0398248,0.143847,0.0786111,0.283942,0.276856,
0.632857,0.40797,12.423,-0.25986,0.0219072,365.01,0.220546,0.0841175,-0.0192133,-0.00138557,0.478215,0.0178277,0.0159261,0.00852549,0.00761608,0.0372798,0.0333032,1.11941,
1.51617,0.324142,61.8277,-0.736726,1.56818,490.091,0.288812,0.935686,-0.0261102,0.0386368,0.43897,0.064747,0.0967424,0.028422,0.042467,0.147498,0.220385,0.669272,
0.87412,0.543672,70.3048,-0.960794,1.82051,5.46248,0.295952,0.520634,-0.0163039,0.0363749,0.372073,0.0526788,0.121612,0.0196004,0.0452486,0.141582,0.326849,0.433171,
0.963369,0.236787,58.3462,-13.4427,15.4116,398.235,53.9036,88.0435,0.178103,0.344327,0.283539,0.166224,0.130577,0.047131,0.0370237,0.586247,0.460526,1.273,
0.320127,0.0788447,79.1414,-5.05859,6.57801,57.7265,14.8676,8.22973,0.156912,0.217275,0.486764,0.0603634,0.141653,0.0293827,0.0689517,0.12401,0.29101,0.426135,
0.187755,0.0822318,30.7665,-3.08783,6.15449,325.69,2.29744,8.7981,-0.0151006,0.036032,0.662016,0.0511326,0.148794,0.0338506,0.0985043,0.0772377,0.22476,0.343646,
1.50455,0.170135,52.7571,-6.80016,9.7847,124.329,14.8227,9.4455,0.12983,0.182961,0.516594,0.0531312,0.0360722,0.0274473,0.0186347,0.102849,0.069827,1.47291,
0.68973,0.471495,67.8803,-1.41032,2.60739,1.24688,0.179826,0.222717,-0.0687466,0.0175269,0.492784,0.0862734,0.0913662,0.0425141,0.0450237,0.175074,0.185408,0.94426,
1.50489,0.448251,30.8827,-0.991735,17.9346,142.545,13.5395,27.6821,0.00160289,0.218028,0.474196,0.216425,0.11464,0.102628,0.0543617,0.456405,0.241756,1.88787,
0.976799,0.156847,75.8793,-1.51968,5.63031,160.369,23.9929,114.112,0.131168,0.280859,0.178673,0.149691,0.119377,0.0267457,0.0213293,0.837794,0.668129,1.25394,
1.12366,0.266529,48.2793,1.33897,19.3708,82.9011,4.52936,100.633,-0.0456115,0.129181,0.138058,0.174792,0.0887706,0.0241314,0.0122555,1.26608,0.642997,1.96903,
